Date,Open,High,Low,Close,Adj Close,Volume
2022-05-09,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-10,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-11,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-12,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-13,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-16,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-17,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-18,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-19,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-20,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-23,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-24,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-25,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-26,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-05-27,0.581400,0.581400,0.581400,0.581400,0.581400,0
2022-06-01,null,null,null,null,null,null
2022-06-02,null,null,null,null,null,null
2022-06-03,null,null,null,null,null,null
2022-06-06,null,null,null,null,null,null
2022-06-07,null,null,null,null,null,null
2022-06-08,null,null,null,null,null,null
2022-06-09,null,null,null,null,null,null
2022-06-10,null,null,null,null,null,null
2022-06-13,null,null,null,null,null,null
2022-06-14,null,null,null,null,null,null
2022-06-15,null,null,null,null,null,null
2022-06-16,null,null,null,null,null,null
2022-06-17,null,null,null,null,null,null
2022-06-21,null,null,null,null,null,null
2022-06-22,null,null,null,null,null,null
2022-06-23,null,null,null,null,null,null
2022-06-24,null,null,null,null,null,null
2022-06-27,null,null,null,null,null,null
2022-06-28,null,null,null,null,null,null
2022-06-29,null,null,null,null,null,null
2022-06-30,null,null,null,null,null,null
2022-07-01,null,null,null,null,null,null
2022-07-05,null,null,null,null,null,null
2022-07-06,null,null,null,null,null,null
2022-07-07,null,null,null,null,null,null
2022-07-08,null,null,null,null,null,null
2022-07-11,null,null,null,null,null,null
2022-07-12,null,null,null,null,null,null
2022-07-13,null,null,null,null,null,null
2022-07-14,null,null,null,null,null,null
2022-07-15,null,null,null,null,null,null
2022-07-18,null,null,null,null,null,null
2022-07-19,null,null,null,null,null,null
2022-07-20,null,null,null,null,null,null
2022-07-21,null,null,null,null,null,null
2022-07-22,null,null,null,null,null,null
2022-07-25,null,null,null,null,null,null
2022-07-26,null,null,null,null,null,null
2022-07-27,null,null,null,null,null,null
2022-07-28,null,null,null,null,null,null
2022-07-29,null,null,null,null,null,null
2022-08-01,null,null,null,null,null,null
2022-08-02,null,null,null,null,null,null
2022-08-03,null,null,null,null,null,null
2022-08-04,null,null,null,null,null,null
2022-08-05,null,null,null,null,null,null
2022-08-08,null,null,null,null,null,null
2022-08-09,null,null,null,null,null,null
2022-08-10,null,null,null,null,null,null
2022-08-11,null,null,null,null,null,null
2022-08-12,null,null,null,null,null,null
